GameID,Season,GameDate,Status,AwayTeamID,AwayTeamScore,AwayTeamRecordWins,AwayTeamRecordLosses,AwayTeamRecordPct,HomeTeamID,HomeTeamScore,HomeTeamRecordWins,HomeTeamRecordLosses,HomeTeamRecordPct,VenueID,DayNight,GamesInSeries,SeriesGameNumber,SeriesDescription
529518,2018,4/7/2018 17:10,Final,144,2,5,3,0.625,115,3,5,4,0.625,19,night,3,2,Regular Season
529527,2018,4/7/2018 18:07,Final,133,7,4,6,0.4,108,3,6,3,0.4,1,night,3,2,Regular Season
529534,2018,4/8/2018 10:05,Final,110,8,4,6,0.4,147,7,5,5,0.4,3313,day,4,4,Regular Season
529545,2018,4/8/2018 10:05,Final,139,7,1,8,0.111,111,8,8,1,0.111,3,day,3,3,Regular Season
529538,2018,4/8/2018 10:10,Final,118,1,2,5,0.286,114,3,4,5,0.286,5,day,3,3,Regular Season
529536,2018,4/8/2018 10:35,Final,113,0,2,6,0.25,134,5,7,2,0.25,31,day,4,4,Regular Season
529540,2018,4/8/2018 10:35,Final,146,6,3,6,0.333,143,3,3,5,0.333,2681,day,3,3,Regular Season
529535,2018,4/8/2018 11:10,Final,112,3,5,4,0.556,158,0,5,5,0.556,32,day,4,4,Regular Season
529537,2018,4/8/2018 11:10,Final,116,1,4,4,0.5,145,0,3,5,0.5,4,day,3,3,Regular Season
529543,2018,4/8/2018 11:10,Final,135,1,2,8,0.2,117,4,8,2,0.2,2392,day,3,3,Regular Season
529532,2018,4/8/2018 11:15,Final,109,4,7,2,0.778,138,1,4,5,0.778,2889,day,3,3,Regular Season
529546,2018,4/8/2018 12:05,Final,141,7,6,4,0.6,140,4,4,7,0.6,13,day,3,3,Regular Season
529533,2018,4/8/2018 12:10,Final,144,4,6,3,0.667,115,0,5,5,0.667,19,day,3,3,Regular Season
529539,2018,4/8/2018 13:05,Final,119,2,3,6,0.333,137,1,4,4,0.333,2395,day,2,2,Regular Season
529542,2018,4/8/2018 13:07,Final,133,1,4,7,0.364,108,6,7,3,0.364,1,day,3,3,Regular Season
529541,2018,4/8/2018 17:08,Final,121,6,7,1,0.875,120,5,4,5,0.875,3309,night,3,3,Regular Season
529558,2018,4/9/2018 11:10,Final,139,5,2,8,0.2,145,4,3,6,0.2,4,day,3,1,Regular Season
529550,2018,4/9/2018 15:10,Final,116,0,4,5,0.444,114,2,5,5,0.444,5,night,4,1,Regular Season
529548,2018,4/9/2018 16:05,Final,144,0,6,4,0.6,120,2,5,5,0.6,3309,night,3,1,Regular Season
529549,2018,4/9/2018 16:05,Final,113,5,2,7,0.222,143,6,4,5,0.222,2681,night,3,1,Regular Season
529553,2018,4/9/2018 16:05,Final,158,5,6,5,0.545,138,4,4,6,0.545,2889,night,3,1,Regular Season
529559,2018,4/9/2018 16:05,Final,141,7,7,4,0.636,110,1,4,7,0.636,2,night,3,1,Regular Season
529554,2018,4/9/2018 16:10,Final,121,4,8,1,0.889,146,2,3,7,0.889,4169,night,3,1,Regular Season
529552,2018,4/9/2018 17:05,Final,108,8,8,3,0.727,140,3,4,8,0.727,13,night,3,1,Regular Season
529551,2018,4/9/2018 17:10,Final,117,2,9,2,0.818,142,0,4,4,0.818,3312,night,3,1,Regular Season
529557,2018,4/9/2018 17:15,Final,136,0,4,4,0.5,118,10,3,5,0.5,7,night,3,1,Regular Season
529556,2018,4/9/2018 17:40,Final,135,7,3,8,0.273,115,6,5,6,0.273,19,night,3,1,Regular Season
529547,2018,4/9/2018 19:15,Final,109,2,8,2,0.8,137,1,4,5,0.8,2395,night,3,1,Regular Season
529572,2018,4/10/2018 11:10,Final,139,6,3,8,0.273,145,5,3,7,0.273,4,day,3,2,Regular Season
529555,2018,4/10/2018 11:20,Final,134,8,8,2,0.8,112,5,5,5,0.8,17,day,3,1,Regular Season
529563,2018,4/10/2018 15:10,Final,116,1,4,6,0.4,114,2,6,5,0.4,5,night,4,2,Regular Season
529561,2018,4/10/2018 16:05,Final,144,1,6,5,0.545,120,4,6,5,0.545,3309,night,3,2,Regular Season
529562,2018,4/10/2018 16:05,Final,113,1,2,8,0.2,143,6,5,5,0.2,2681,night,3,2,Regular Season
529573,2018,4/10/2018 16:05,Final,141,2,8,4,0.667,110,1,4,8,0.667,2,night,3,2,Regular Season
529567,2018,4/10/2018 16:10,Final,121,8,9,1,0.9,146,6,3,8,0.9,4169,night,3,2,Regular Season
529568,2018,4/10/2018 16:10,Final,147,1,5,6,0.455,111,14,9,1,0.455,3,night,3,1,Regular Season
529565,2018,4/10/2018 17:05,Final,108,11,9,3,0.75,140,1,4,9,0.75,13,night,3,2,Regular Season
529564,2018,4/10/2018 17:10,Final,117,1,9,3,0.75,142,4,5,4,0.75,3312,night,3,2,Regular Season
529566,2018,4/10/2018 17:15,Final,158,3,6,6,0.5,138,5,5,6,0.5,2889,night,3,2,Regular Season
529571,2018,4/10/2018 17:15,Final,136,8,5,4,0.556,118,3,3,6,0.556,7,night,3,2,Regular Season
529570,2018,4/10/2018 17:40,Final,135,5,4,8,0.333,115,2,5,7,0.333,19,night,3,2,Regular Season
529569,2018,4/10/2018 19:10,Final,133,0,4,8,0.333,119,4,4,6,0.333,22,night,2,1,Regular Season
529560,2018,4/10/2018 19:15,Final,109,4,8,3,0.727,137,5,5,5,0.727,2395,night,3,2,Regular Season
529575,2018,4/11/2018 10:05,Final,144,5,7,5,0.583,120,3,6,6,0.583,3309,day,3,3,Regular Season
529578,2018,4/11/2018 10:10,Final,117,8,9,4,0.692,142,9,6,4,0.692,3312,day,3,3,Regular Season
529580,2018,4/11/2018 10:15,Final,158,3,7,6,0.538,138,2,5,7,0.538,2889,day,3,3,Regular Season
529587,2018,4/11/2018 11:10,Final,139,1,3,9,0.25,145,2,4,7,0.25,4,day,3,3,Regular Season
529586,2018,4/11/2018 11:15,Final,136,4,6,4,0.6,118,2,3,7,0.6,7,day,3,3,Regular Season
529585,2018,4/11/2018 12:10,Final,135,4,4,9,0.308,115,6,6,7,0.308,19,day,3,3,Regular Season
529574,2018,4/11/2018 12:45,Final,109,7,9,3,0.75,137,3,5,6,0.75,2395,day,3,3,Regular Season
529577,2018,4/11/2018 15:10,Final,116,1,4,7,0.364,114,5,7,5,0.364,5,night,4,3,Regular Season
529576,2018,4/11/2018 16:05,Final,113,3,2,9,0.182,143,4,6,5,0.182,2681,night,3,3,Regular Season
529588,2018,4/11/2018 16:05,Final,141,3,8,5,0.615,110,5,5,8,0.615,2,night,3,3,Regular Season
529581,2018,4/11/2018 16:10,Final,121,4,10,1,0.909,146,1,3,9,0.909,4169,night,3,3,Regular Season
529582,2018,4/11/2018 16:10,Final,147,10,6,6,0.5,111,7,9,2,0.5,3,night,3,2,Regular Season
